longitude,latitude,timestamp,speed_km/h
130.4206364,33.5904217,2023-12-10 20:30:05.233381,4.5
130.4206258,33.5902228,2023-12-10 20:30:10.233381,4.5
130.42055286666667,33.590225266666664,2023-12-10 20:30:15.233381,4.5
130.42047993333335,33.590227733333336,2023-12-10 20:30:20.233381,4.5
130.420407,33.5902302,2023-12-10 20:30:25.233381,4.5
130.42034628666667,33.59023229333334,2023-12-10 20:30:30.233381,4.5
130.42028557333333,33.590234386666666,2023-12-10 20:30:35.233381,4.5
130.42022486000002,33.59023648,2023-12-10 20:30:40.233381,4.5
130.42016414666668,33.59023857333333,2023-12-10 20:30:45.233381,4.5
130.42010343333334,33.590240666666666,2023-12-10 20:30:50.233381,4.5
130.42004272,33.59024276,2023-12-10 20:30:55.233381,4.5
130.41998200666666,33.59024485333333,2023-12-10 20:31:00.233381,4.5
130.41992129333335,33.59024694666667,2023-12-10 20:31:05.233381,4.5
130.41986058,33.590249039999996,2023-12-10 20:31:10.233381,4.5
130.41979986666666,33.59025113333333,2023-12-10 20:31:15.233381,4.5
130.41973915333332,33.59025322666667,2023-12-10 20:31:20.233381,4.5
130.41967843999998,33.59025532,2023-12-10 20:31:25.233381,4.5
130.41961772666667,33.59025741333333,2023-12-10 20:31:30.233381,4.5
130.41955701333333,33.59025950666666,2023-12-10 20:31:35.233381,4.5
130.4194963,33.5902616,2023-12-10 20:31:40.233381,4.5
130.41943026666667,33.590298149999995,2023-12-10 20:31:45.233381,4.5
130.41936423333334,33.5903347,2023-12-10 20:31:50.233381,4.5
130.41929820000001,33.590371250000004,2023-12-10 20:31:55.233381,4.5
130.41923216666666,33.5904078,2023-12-10 20:32:00.233381,4.5
130.41916613333333,33.59044435,2023-12-10 20:32:05.233381,4.5
130.4191001,33.5904809,2023-12-10 20:32:10.233381,4.5
130.41902125000001,33.5905208,2023-12-10 20:32:15.233381,4.5
130.4189424,33.5905607,2023-12-10 20:32:20.233381,4.5
130.41888162499998,33.590604,2023-12-10 20:32:25.233381,4.5
130.41882084999997,33.5906473,2023-12-10 20:32:30.233381,4.5
130.418760075,33.590690599999995,2023-12-10 20:32:35.233381,4.5
130.4186993,33.5907339,2023-12-10 20:32:40.233381,4.5
130.41864876666665,33.5907773625,2023-12-10 20:32:45.233381,4.5
130.4185982333333,33.590820824999994,2023-12-10 20:32:50.233381,4.5
130.41854769999998,33.5908642875,2023-12-10 20:32:55.233381,4.5
130.41849716666667,33.59090775,2023-12-10 20:33:00.233381,4.5
130.41844663333333,33.590951212499995,2023-12-10 20:33:05.233381,4.5
130.4183961,33.590994675,2023-12-10 20:33:10.233381,4.5
130.41834556666666,33.5910381375,2023-12-10 20:33:15.233381,4.5
130.41829503333332,33.591081599999995,2023-12-10 20:33:20.233381,4.5
130.4182445,33.5911250625,2023-12-10 20:33:25.233381,4.5
